Исходное,Падеж,Результат,Ё-Важно,Успех,Категория,Язык,Пол,Примечание,ID,Todo,MorpherDllTimeStampUtc,Множ
Юрій,М,Юрієві,FALSE,FALSE,ФИО,Укр,М,Романенко,14276,TRUE,18-Oct-09,FALSE
Леонтій,М,Леонтієві,FALSE,FALSE,ФИО,Укр,М,Романенко,14741,TRUE,18-Oct-09,FALSE
Маслій,М,Маслій,FALSE,TRUE,ФИО,Укр,Ж,Романенко,15411,FALSE,18-Oct-09,FALSE
Салій,М,Салій,FALSE,TRUE,ФИО,Укр,Ж,Романенко,15416,FALSE,18-Oct-09,FALSE
Геннадій,М,Геннадієві,FALSE,FALSE,ФИО,Укр,М,Романенко,16886,TRUE,18-Oct-09,FALSE
Анатолій,М,Анатолієві,FALSE,FALSE,ФИО,Укр,М,Романенко,16896,TRUE,18-Oct-09,FALSE
Валерій,М,Валерієві,FALSE,FALSE,ФИО,Укр,М,Романенко,17106,TRUE,18-Oct-09,FALSE
Сергій,М,Сергієві,FALSE,FALSE,ФИО,Укр,М,Романенко,17056,TRUE,18-Oct-09,FALSE
Андрій,М,Андрієві,FALSE,FALSE,ФИО,Укр,М,Романенко,17326,TRUE,18-Oct-09,FALSE
Зіновій,М,Зіновієві,FALSE,FALSE,ФИО,Укр,М,Романенко,17371,TRUE,18-Oct-09,FALSE
Григорій,М,Григорії,FALSE,TRUE,ФИО,Укр,М,Романенко,17526,FALSE,18-Oct-09,FALSE
Віталій,М,Віталії,FALSE,TRUE,ФИО,Укр,М,Романенко,17596,FALSE,18-Oct-09,FALSE
Плаксій,М,Плаксієві,FALSE,FALSE,ФИО,Укр,М,Романенко,17606,TRUE,18-Oct-09,FALSE
Олексій,М,Олексії,FALSE,TRUE,ФИО,Укр,М,Романенко,17611,FALSE,18-Oct-09,FALSE
Євгеній,М,Євгенієві,FALSE,FALSE,ФИО,Укр,М,Романенко,17991,TRUE,18-Oct-09,FALSE
Пазій,М,Пазій,FALSE,TRUE,ФИО,Укр,Ж,Романенко,19136,FALSE,18-Oct-09,FALSE
синій,М,синьому,TRUE,TRUE,,Укр,,,23595,FALSE,11-May-11,FALSE
Залізнодорожній,М,Залізнодорожному,FALSE,FALSE,Топонимы,Укр,,,36781,FALSE,30-Oct-11,FALSE
водій,М,водії,TRUE,TRUE,Профессии,Укр,,,39338,FALSE,04-Dec-11,FALSE
Карпій,М,Карпії,TRUE,TRUE,ФИО,Укр,,,39528,FALSE,14-Dec-11,FALSE
Пролетарій,М,Пролетарії,FALSE,TRUE,Топонимы,Укр,,,38865,FALSE,06-Nov-11,FALSE
Назар Гузій,М,Назарі Гузії,TRUE,TRUE,ФИО,Укр,,http://vkontakte.ru/topic-1091714_2434931,39883,FALSE,17-Dec-11,FALSE
Придорожній,М,Придорожньому,FALSE,FALSE,Топонимы,Укр,,,34820,FALSE,30-Oct-11,FALSE
косяк євгеній,М,косяку євгенії,TRUE,TRUE,ФИО,Укр,,,54043,FALSE,30-Mar-15,FALSE
